Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
DeVonta Smith,WR,PHI,17,916,54,82,0,11,7,11,121.6,13.3
James Proche II,WR,BAL,7,152,22,32,0,13,11,13,20.2,13.3
Dalton Schultz,TE,DAL,17,993,58,81,0,10,8,10,130.8,13.2
Jared Cook,TE,LAC,16,644,40,57,0,13,7,13,84.4,13.1
Mecole Hardman,WR,KC,17,623,37,52,1,13,11,15,81.9,13.1
Chase Claypool,WR,PIT,15,823,55,80,2,13,9,14,107.6,13.1
Mike Glennon,QB,NYG,6,315,53,79,2,0,55,55,40.9,13.0
Darren Waller,TE,LV,11,608,55,81,0,15,9,15,78.5,12.9
Odell Beckham Jr.,WR,LAR,14,666,48,72,0,12,7,13,85.1,12.8
T.J. Hockenson,TE,DET,12,658,55,84,0,13,9,13,84.3,12.8
Rondale Moore,WR,ARI,14,432,31,45,4,15,17,19,55.1,12.8
Cam Sims,WR,WAS,12,266,22,34,0,9,6,9,33.8,12.7
Marquez Callaway,WR,NO,17,833,49,76,0,10,6,10,105.8,12.7
Julio Jones,WR,TEN,10,393,39,58,0,12,8,12,49.4,12.6
Zach Ertz,TE,ARI,17,849,50,74,0,13,9,13,106.7,12.6
Dawson Knox,TE,BUF,15,917,61,87,0,8,5,8,115.1,12.6
Brandon Aiyuk,WR,SF,17,906,53,83,1,9,7,10,114.3,12.6
Parris Campbell,WR,IND,6,177,30,46,0,11,6,11,22.2,12.5
DeAndre Carter,WR,WAS,17,505,30,45,2,9,7,11,62.5,12.4
Jason Moore Jr.,WR,LAC,1,45,45,73,0,9,7,9,5.6,12.4
Logan Thomas,TE,WAS,5,289,58,87,0,9,6,9,35.6,12.3
Jake Fromm,QB,NYG,3,113,38,57,7,0,60,60,13.9,12.3
Tim Patrick,WR,DEN,16,849,53,83,0,10,6,10,103.4,12.2
Tyree Jackson,TE,PHI,3,67,22,31,0,10,4,10,8.2,12.2
Dez Fitzpatrick,WR,TEN,3,89,30,44,0,9,6,9,10.9,12.2
Sterling Shepard,WR,NYG,7,344,49,74,0,15,11,16,41.7,12.1
Emmanuel Sanders,WR,BUF,14,747,53,77,0,10,6,10,89.7,12.0
DeVante Parker,WR,MIA,10,539,54,81,0,14,7,14,63.5,11.8
Auden Tate,WR,CIN,4,84,21,34,0,5,4,5,9.9,11.8
A.J. Green,WR,ARI,16,888,56,81,0,10,6,10,102.8,11.6
Carlos Hyde,RB,JAC,12,292,24,38,25,8,29,32,33.8,11.6
David Njoku,TE,CLE,15,620,41,65,0,9,6,9,71.6,11.5
Scotty Miller,WR,TB,6,123,21,30,2,7,6,9,14.1,11.5
Maxx Williams,TE,ARI,5,221,44,66,0,8,7,8,25.3,11.4
Kalif Raymond,WR,DET,16,742,46,71,1,10,7,10,84.4,11.4
Jakobi Meyers,WR,NE,16,904,57,86,0,14,10,14,103.3,11.4
Jerry Jeudy,WR,DEN,10,412,41,65,0,14,10,14,47.0,11.4
Michael Gallup,WR,DAL,9,498,55,74,0,12,7,12,56.5,11.3
Cole Beasley,WR,BUF,16,691,43,62,0,16,12,16,77.3,11.2
Dan Arnold,TE,JAC,11,363,33,50,0,14,10,14,40.8,11.2
Dee Eskridge,WR,SEA,8,164,21,34,2,12,9,15,18.3,11.2
Mike Gesicki,TE,MIA,17,828,49,72,0,14,9,14,92.0,11.1
Josh Reynolds,WR,DET,11,470,43,63,0,10,6,10,51.6,11.0
Tre'Quan Smith,WR,NO,10,506,51,74,0,10,6,10,55.7,11.0
Nick Westbrook-Ikhine,WR,TEN,15,632,42,60,0,9,6,9,69.6,11.0
Marvin Jones Jr.,WR,JAC,17,980,58,90,0,12,7,12,107.2,10.9
Jamison Crowder,WR,NYJ,12,538,45,69,0,13,9,13,58.7,10.9
Antony Auclair,TE,HOU,4,98,25,37,0,5,5,5,10.7,10.9
Cameron Brate,TE,TB,16,451,28,40,0,13,7,13,48.5,10.8
Noah Fant,TE,DEN,16,843,53,84,0,11,8,11,91.0,10.8
Ross Dwelley,TE,SF,4,103,26,39,0,5,4,5,11.1,10.8
Jalen Guyton,WR,LAC,16,613,38,54,1,8,6,9,66.2,10.8
Donovan Peoples-Jones,WR,CLE,14,699,50,77,0,8,5,8,75.7,10.8
Gerald Everett,TE,SEA,15,650,43,75,0,10,8,10,69.8,10.7
Harrison Bryant,TE,CLE,15,385,26,39,0,7,5,7,41.3,10.7
Robert Tonyan,TE,GB,8,306,38,60,0,9,6,9,32.4,10.6
Jesse James,TE,CHI,5,116,23,33,0,7,6,7,12.2,10.5
Olamide Zaccheaus,WR,ATL,15,562,37,62,0,9,6,10,58.8,10.5
Josiah Deguara,TE,GB,14,349,25,38,0,9,7,9,36.5,10.5
Freddie Swain,WR,SEA,17,592,35,60,1,7,5,8,61.5,10.4
Laquon Treadwell,WR,JAC,12,485,40,66,0,11,7,11,49.4,10.2
Albert Okwuegbunam,TE,DEN,14,421,30,47,0,10,8,10,43.0,10.2
Courtland Sutton,WR,DEN,17,920,54,85,0,11,6,11,92.2,10.0
Kendall Hinton,WR,DEN,11,234,21,32,0,10,7,10,23.5,10.0
C.J. Uzomah,TE,CIN,16,802,50,77,0,8,6,8,79.3,9.9
Anthony Firkser,TE,TEN,15,396,26,38,0,11,9,11,39.1,9.9
Tavon Austin,WR,JAC,12,281,23,37,1,14,10,15,27.4,9.8
Sammy Watkins,WR,BAL,11,441,40,55,0,11,6,11,43.4,9.8
Hayden Hurst,TE,ATL,12,387,32,51,0,8,7,8,38.1,9.8
Donald Parham Jr.,TE,LAC,14,398,28,41,0,7,5,7,39.0,9.8
Tyler Higbee,TE,LAR,15,883,59,92,0,10,7,10,86.0,9.7
Brandon Zylstra,WR,CAR,12,321,27,39,0,8,6,8,31.0,9.7
Zay Jones,WR,LV,15,614,41,60,0,11,8,12,58.9,9.6
Antoine Wesley,WR,ARI,8,405,51,72,0,8,5,8,38.8,9.6
Marquise Goodwin,WR,CHI,14,393,28,43,1,10,6,11,37.2,9.5
Quez Watkins,WR,PHI,17,771,45,69,0,8,6,8,73.0,9.5
Rashod Bateman,WR,BAL,12,604,50,68,0,11,8,11,57.5,9.5
Nelson Agholor,WR,NE,15,707,47,73,0,9,6,9,66.4,9.4
Keelan Cole Sr.,WR,NYJ,14,541,39,61,0,9,5,10,50.9,9.4
Nico Collins,WR,HOU,14,536,38,59,0,11,6,11,50.6,9.4
Bryan Edwards,WR,LV,16,811,51,76,0,7,4,7,75.1,9.3
James O'Shaughnessy,TE,JAC,7,286,41,62,0,12,8,12,26.4,9.2
Laviska Shenault Jr.,WR,JAC,16,697,44,69,2,14,11,16,64.0,9.2
Mo Alie-Cox,TE,IND,17,609,36,55,0,7,4,7,55.6,9.1
JuJu Smith-Schuster,WR,PIT,5,222,44,69,1,13,8,14,19.8,8.9
Anthony Miller,WR,PIT,3,95,32,58,0,13,6,13,8.5,8.9
Brock Wright,TE,DET,8,270,34,53,0,6,4,6,23.7,8.8
Robbie Anderson,WR,CAR,17,978,58,85,0,11,6,12,85.5,8.7
James Washington,WR,PIT,15,480,32,47,0,9,5,10,41.8,8.7
